,Model number,sSpec number,Frequency,Turbo,Cores,L2 cache,L3 cache,I/O bus,Mult.,Memory,Voltage,TDP,Socket,Release date,Part number(s),Release price (USD),Unnamed: 16,GPU frequency
66,Xeon X5670,SLBV7 (B1),2.93 GHz,2/2/2/2/3/3,6,6 × 256 KB,12 MB,2 × 6.4 GT/s QPI,22×,3 × DDR3-1333,0.75–1.35 V,95 W,LGA 1366,"March 16, 2010",AT80614005130AA BX80614X5670,$1440,,
67,Xeon X5675,SLBYL (B1),3.07 GHz,2/2/2/2/3/3,6,6 × 256 KB,12 MB,2 × 6.4 GT/s QPI,23×,3 × DDR3-1333,0.75–1.35 V,95 W,LGA 1366,"February 14, 2011",AT80614006696AA BX80614X5675,$1440,,
68,Xeon X5679,SLC2E (B1),3.2 GHz,1/1/1/1/2/2,6,6 × 256 KB,12 MB,2 × 6.4 GT/s QPI,24×,3 × DDR3-1066,0.75–1.35 V,115 W,LGA 1366,"February 14, 2011",AT80614006924AA,OEM,,
69,Xeon X5680,SLBV5 (B1),3.33 GHz,1/1/1/1/2/2,6,6 × 256 KB,12 MB,2 × 6.4 GT/s QPI,25×,3 × DDR3-1333,0.75–1.35 V,130 W,LGA 1366,"March 16, 2010",AT80614005124AA BX80614X5680,$1663,,
70,Xeon X5690,SLBVX (B1),3.47 GHz,1/1/1/1/2/2,6,6 × 256 KB,12 MB,2 × 6.4 GT/s QPI,26×,3 × DDR3-1333,0.75–1.35 V,130 W,LGA 1366,"February 14, 2011",AT80614005913AB BX80614X5690,$1663,,
71,Xeon L5638,SLBWY (B1),2 GHz,1/1/2/2/3/3,6,6 × 256 KB,12 MB,2 × 5.86 GT/s QPI,15×,3 × DDR3-1333,0.75–1.35 V,60 W,LGA 1366,"March 16, 2010",AT80614003591AB,$958,,
72,Xeon L5639[11],SLBZJ (B1),2.13 GHz,2/2/3/3/4/4,6,6 × 256 KB,12 MB,2 × 5.86 GT/s QPI,16×,3 × DDR3-1333,0.75–1.35 V,60 W,LGA 1366,"February 14, 2011",AT80614005076AB,OEM,,
73,Xeon L5640,SLBV8 (B1),2.27 GHz,2/2/3/3/4/4,6,6 × 256 KB,12 MB,2 × 5.86 GT/s QPI,17×,3 × DDR3-1333,0.75–1.35 V,60 W,LGA 1366,"March 16, 2010",AT80614005133AB BX80614L5640,$996,,
74,Xeon L5645[11],SLBVW (B1),2.4 GHz,2/2/3/3/4/4,6,6 × 256 KB,12 MB,2 × 5.86 GT/s QPI,18×,3 × DDR3-1333,0.75–1.35 V,60 W,LGA 1366,"February 14, 2011",AT80614005136AB,OEM,,
75,Xeon E6510,SLBRL (D0),1.73 GHz,—,4,4× 256 KB,12 MB,4 × 4.8 GT/s QPI,13×,4 × DDR3-1333,0.675–1.35 V,105 W,LGA 1567,"March 30, 2010",AT80604004896AA,$744,,
76,Xeon E7520,SLBRK (D0),1.87 GHz,—,4,4× 256 KB,18 MB,4 × 4.8 GT/s QPI,14×,4 × DDR3-1333,0.675–1.35 V,105 W,LGA 1567,"March 30, 2010",AT80604004887AA,$856,,
77,Xeon E7530,SLBRJ (D0),1.87 GHz,2133 MHz,6,6× 256 KB,12 MB,4 × 5.86 GT/s QPI,14×,4 × DDR3-1333,0.675–1.35 V,105 W,LGA 1567,"March 30, 2010",AT80604004884AA,$1391,,
78,Xeon E6540,SLBRC (D0),2 GHz,2266 MHz,6,6× 256 KB,18 MB,4 × 6.4 GT/s QPI,15×,4 × DDR3-1333,0.675–1.35 V,105 W,LGA 1567,"March 30, 2010",AT80604001800AB,$1712,,
79,Xeon E7540,SLBRG (D0),2 GHz,2266 MHz,6,6× 256 KB,18 MB,4 × 6.4 GT/s QPI,15×,4 × DDR3-1333,0.675–1.35 V,105 W,LGA 1567,"March 30, 2010",AT80604004878AA,$1980,,
80,Xeon X7542,SLBRM (D0),2.67 GHz,2800 MHz,6,6× 256 KB,18 MB,4 × 5.86 GT/s QPI,20×,4 × DDR3-1333,0.675–1.35 V,130 W,LGA 1567,"March 30, 2010",AT80604005280AA,$1980,,
81,Xeon L7545,SLBRH (D0),1.87 GHz,2533 MHz,6,6× 256 KB,18 MB,4 × 5.86 GT/s QPI,14×,4 × DDR3-1333,0.675–1.35 V,95 W,LGA 1567,"March 30, 2010",AT80604004881AA,$2087,,
82,Xeon X6550,SLBRB (D0),2 GHz,2400 MHz,8,8× 256 KB,18 MB,4 × 6.4 GT/s QPI,15×,4 × DDR3-1333,0.675–1.35 V,130 W,LGA 1567,"March 30, 2010",AT80604001797AB,$2461,,
83,Xeon X7550,SLBRE (D0),2 GHz,2400 MHz,8,8× 256 KB,18 MB,4 × 6.4 GT/s QPI,15×,4 × DDR3-1333,0.675–1.35 V,130 W,LGA 1567,"March 30, 2010",AT80604004872AA,$2729,,
84,Xeon X7560,SLBRD (D0),2.27 GHz,2666 MHz,8,8× 256 KB,24 MB,4 × 6.4 GT/s QPI,17×,4 × DDR3-1333,0.675–1.35 V,130 W,LGA 1567,"March 30, 2010",AT80604004869AA,$3692,,
85,Xeon L7555,SLBRF (D0),1.87 GHz,2533 MHz,8,8× 256 KB,24 MB,4 × 5.86 GT/s QPI,14×,4 × DDR3-1333,0.675–1.35 V,95 W,LGA 1567,"March 30, 2010",AT80604004875AA,$3157,,
86,Xeon E7-2803,SLC3M (A2),1.73 GHz,—,6,6× 256 KB,18 MB,4 × 4.8 GT/s QPI,13×,4 × DDR3-1333,0.6–1.35 V,105 W,LGA 1567,"April 3, 2011",AT80615006438AB,$774,,
87,Xeon E7-4807,SLC3L (A2),1.87 GHz,—,6,6× 256 KB,18 MB,4 × 4.8 GT/s QPI,14×,4 × DDR3-1333,0.6–1.35 V,95 W,LGA 1567,"April 3, 2011",AT80615006432AB,$890,,
88,Xeon E7-2820,SLC3R (A2),2 GHz,1/1/1/2,8,8× 256 KB,18 MB,4 × 5.86 GT/s QPI,15×,4 × DDR3-1333,0.6–1.35 V,105 W,LGA 1567,"April 3, 2011",AT80615007245AA,$1334,,
89,Xeon E7-2830,SLC3J (A2),2.13 GHz,1/1/1/2,8,8× 256 KB,24 MB,4 × 6.4 GT/s QPI,16×,4 × DDR3-1333,0.6–1.35 V,105 W,LGA 1567,"April 3, 2011",AT80615005787AB,$1779,,
90,Xeon E7-4820,SLC3G (A2),2 GHz,1/1/1/2,8,8× 256 KB,18 MB,4 × 5.86 GT/s QPI,15×,4 × DDR3-1333,0.6–1.35 V,105 W,LGA 1567,"April 3, 2011",AT80615005772AC,$1446,,
91,Xeon E7-4830,SLC3Q (A2),2.13 GHz,1/1/1/2,8,8× 256 KB,24 MB,4 × 6.4 GT/s QPI,16×,4 × DDR3-1333,0.6–1.35 V,105 W,LGA 1567,"April 3, 2011",AT80615007089AA BX80615E74830,$2059,,
92,Xeon E7-8830,SLC3K (A2),2.13 GHz,1/1/1/2,8,8× 256 KB,24 MB,4 × 6.4 GT/s QPI,16×,4 × DDR3-1333,0.6–1.35 V,105 W,LGA 1567,"April 3, 2011",AT80615005826AB,$2280,,
93,Xeon E7-8837,SLC3N (A2),2.67 GHz,1/1/1/1,8,8× 256 KB,24 MB,4 × 6.4 GT/s QPI,20×,4 × DDR3-1333,0.6–1.35 V,130 W,LGA 1567,"April 3, 2011",AT80615006750AB,$2280,,
94,Xeon E7-2850,SLC3W (A2),2 GHz,1/1/2/3/3,10,10× 256 KB,24 MB,4 × 6.4 GT/s QPI,15×,4 × DDR3-1333,0.6–1.35 V,130 W,LGA 1567,"April 3, 2011",AT80615007452AA,$2558,,
95,Xeon E7-2860,SLC3H (A2),2.27 GHz,1/1/2/3/3,10,10× 256 KB,24 MB,4 × 6.4 GT/s QPI,17×,4 × DDR3-1333,0.6–1.35 V,130 W,LGA 1567,"April 3, 2011",AT80615005781AB,$3670,,
96,Xeon E7-2870,SLC3U (A2),2.4 GHz,1/1/2/3/3,10,10× 256 KB,30 MB,4 × 6.4 GT/s QPI,18×,4 × DDR3-1333,0.6–1.35 V,130 W,LGA 1567,"April 3, 2011",AT80615007266AA,$4227,,
97,Xeon E7-4850,SLC3V (A2),2 GHz,1/1/2/3/3,10,10× 256 KB,24 MB,4 × 6.4 GT/s QPI,15×,4 × DDR3-1333,0.6–1.35 V,130 W,LGA 1567,"April 3, 2011",AT80615007449AA,$2837,,
98,Xeon E7-4860,SLC3S (A2),2.27 GHz,1/1/2/3/3,10,10× 256 KB,24 MB,4 × 6.4 GT/s QPI,17×,4 × DDR3-1333,0.6–1.35 V,130 W,LGA 1567,"April 3, 2011",AT80615007254AA,$3838,,
99,Xeon E7-4870,SLC3T (A2),2.4 GHz,1/1/2/3/3,10,10× 256 KB,30 MB,4 × 6.4 GT/s QPI,18×,4 × DDR3-1333,0.6–1.35 V,130 W,LGA 1567,"April 3, 2011",AT80615007263AA BX80615E74870,$4394,,
100,Xeon E7-8850,SLC3D (A2),2 GHz,1/1/2/3/3,10,10× 256 KB,24 MB,4 × 6.4 GT/s QPI,15×,4 × DDR3-1333,0.6–1.35 V,130 W,LGA 1567,"April 3, 2011",AT80615007446AA,$3059,,
101,Xeon E7-8860,SLC3F (A2),2.27 GHz,1/1/2/3/3,10,10× 256 KB,24 MB,4 × 6.4 GT/s QPI,17×,4 × DDR3-1333,0.6–1.35 V,130 W,LGA 1567,"April 3, 2011",AT80615005760AB,$4061,,
102,Xeon E7-8870,SLC3E (A2),2.4 GHz,1/1/2/3/3,10,10× 256 KB,30 MB,4 × 6.4 GT/s QPI,18×,4 × DDR3-1333,0.6–1.35 V,130 W,LGA 1567,"April 3, 2011",AT80615005757AB,$4616,,
103,Xeon E7-8867L,SLC3P (A2),2.13 GHz,1/1/2/3/3,10,10× 256 KB,30 MB,4 × 6.4 GT/s QPI,16×,4 × DDR3-1333,0.6–1.35 V,105 W,LGA 1567,"April 3, 2011",AT80615007002AB,$4172,,
